Country Name,Country Code,Year,Region,IncomeGroup,EnrollmentRate,EducationLevel,Gender
Azerbaijan,AZE,2013,Europe & Central Asia,Upper middle income,91.82654,Primary,Female
Burkina Faso,BFA,1993,Sub-Saharan Africa,Low income,22.70059,Primary,Female
Brunei Darussalam,BRN,1984,East Asia & Pacific,High income,77.27961,Primary,Female
Cyprus,CYP,1974,Europe & Central Asia,High income,77.08835,Primary,Female
Ghana,GHA,2003,Sub-Saharan Africa,Lower middle income,65.67614,Primary,Female
"Gambia, The",GMB,2003,Sub-Saharan Africa,Low income,65.28014,Primary,Female
IDA only,IDX,2012,,,79.69538,Primary,Female
IDA only,IDX,2013,,,79.93079,Primary,Female
Jamaica,JAM,2003,Latin America & Caribbean,Upper middle income,91.42035,Primary,Female
Cambodia,KHM,1997,East Asia & Pacific,Lower middle income,76.28283,Primary,Female
Kuwait,KWT,1987,Middle East & North Africa,High income,79.66392,Primary,Female
Morocco,MAR,2004,Middle East & North Africa,Lower middle income,84.14041,Primary,Female
Mali,MLI,2005,Sub-Saharan Africa,Low income,50.07308,Primary,Female
Myanmar,MMR,1974,East Asia & Pacific,Lower middle income,56.11856,Primary,Female
Mauritania,MRT,2000,Sub-Saharan Africa,Lower middle income,59.07196,Primary,Female
Panama,PAN,1999,Latin America & Caribbean,Upper middle income,92.78902,Primary,Female
Philippines,PHL,2002,East Asia & Pacific,Lower middle income,91.35792,Primary,Female
Poland,POL,2008,Europe & Central Asia,High income,93.55424,Primary,Female
Qatar,QAT,1979,Middle East & North Africa,High income,93.31216,Primary,Female
Senegal,SEN,2005,Sub-Saharan Africa,Lower middle income,64.00654,Primary,Female
Tonga,TON,1975,East Asia & Pacific,Upper middle income,97.33629,Primary,Female
Belgium,BEL,2008,Europe & Central Asia,High income,98.06133,Primary,Female
Bermuda,BMU,1978,North America,High income,77.90805,Primary,Female
Botswana,BWA,1972,Sub-Saharan Africa,Upper middle income,51.34131,Primary,Female
Botswana,BWA,1999,Sub-Saharan Africa,Upper middle income,87.06785,Primary,Female
Algeria,DZA,2007,Middle East & North Africa,Lower middle income,94.94972,Primary,Female
Eritrea,ERI,1995,Sub-Saharan Africa,Low income,32.80085,Primary,Female
Heavily indebted poor countries (HIPC),HPC,2018,,,78.30287,Primary,Female
St. Lucia,LCA,2000,Latin America & Caribbean,Upper middle income,88.69969,Primary,Female
Myanmar,MMR,2008,East Asia & Pacific,Lower middle income,89.43049,Primary,Female
Mozambique,MOZ,1985,Sub-Saharan Africa,Low income,48.04056,Primary,Female
Malaysia,MYS,1998,East Asia & Pacific,Upper middle income,95.5427,Primary,Female
Paraguay,PRY,1987,Latin America & Caribbean,Upper middle income,86.99188,Primary,Female
French Polynesia,PYF,1984,East Asia & Pacific,High income,94.69187,Primary,Female
Senegal,SEN,1990,Sub-Saharan Africa,Lower middle income,38.32991,Primary,Female
Eswatini,SWZ,1996,Sub-Saharan Africa,Lower middle income,79.92177,Primary,Female
Latin America & the Caribbean (IDA & IBRD countries),TLA,2007,,,95.53679,Primary,Female
Trinidad and Tobago,TTO,1982,Latin America & Caribbean,High income,93.03454,Primary,Female
Zambia,ZMB,1994,Sub-Saharan Africa,Lower middle income,71.50885,Primary,Female
Argentina,ARG,1991,Latin America & Caribbean,Upper middle income,96.00714,Primary,Female
Brunei Darussalam,BRN,1986,East Asia & Pacific,High income,80.16044,Primary,Female
Central Europe and the Baltics,CEB,2003,,,93.3178,Primary,Female
"Congo, Rep.",COG,1984,Sub-Saharan Africa,Lower middle income,87.75996,Primary,Female
Cabo Verde,CPV,2001,Sub-Saharan Africa,Lower middle income,97.414,Primary,Female
